,Player,Year,,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Agility,Sprint,,,,
259,Brandon Paul,2013,,74.75,76,82.25,98,39.5,137.5,33.5,131.5,201,11.16,3.37,,,,
260,C.J. Leslie,2013,,79.5,80.75,86.25,104.5,40.5,145,32.5,137,209,10.19,3.1,,,,
261,DeWayne Dedmon,2013,,82,83.5,88,109,32.5,141.5,28,137,239,12.75,3.4,,,,
262,Jackie Carmichael,2013,,79.5,81,85.5,107,32,139,30,137,241,11.83,3.35,,,,
263,James Southerland,2013,,79,80,85,106,32,138,29,135,221,10.9,3.38,,,,
264,Kenny Kadji,2013,,80.75,82,87,106.5,38,144.5,34,140.5,242,11.47,3.44,,,,
265,Myck Kabongo,2013,,73.25,74.75,78.25,98,33.5,131.5,27.5,125.5,180,10.64,3.34,,,,
266,Norvel Pelle,2013,,81.5,82.5,86.5,109,34.5,143.5,31,140,207,11.49,3.32,,,,
267,Phil Pressey,2013,,69.5,71.5,74.25,92,38.5,130.5,33,125,177,10.86,3.13,,,,
268,Richard Howell,2013,,78.25,79.5,82.25,105.5,,,,,250,,,,,,
269,Robert Covington,2013,,78.25,79.5,85.75,106,36,142,29.5,135.5,209,11.69,3.34,,,,
270,Seth Curry,2013,,73,75,76,97.5,,,,,179,,,,,,
271,Trevor Mbakwe,2013,,78.75,80,88,106.5,36.5,143,30,136.5,236,12.01,3.32,,,,
272,Vander Blue,2013,,75.5,77.25,78,100.5,37.5,138,28,128.5,197,10.4,3.14,,,,
273,Will Clyburn,2013,,77.75,79,84.25,105,34.5,139.5,28,133,210,11.68,3.38,,,,
274,Elfrid Payton,2014,,74.5,75.75,80,98.5,35.5,134,31.5,130,185,11.06,3.23,,,,
275,Doug McDermott,2014,,78.25,79.75,81.25,103,36.5,139.5,28.5,131.5,218,11.1,3.29,,,,
276,Zach LaVine,2014,,76.5,77.75,80.25,100,41.5,141.5,33.5,133.5,181,10.42,3.19,,,,
277,T.J. Warren,2014,,79,80.25,82.25,104,35.5,139.5,27,131,220,11.1,3.26,,,,
278,Adreian Payne,2014,,81,81.75,88,109,,,,,239,,,,,,
279,James Young,2014,,77.25,78.75,84,104,35.5,139.5,28,132,213,,,,,,
280,Tyler Ennis,2014,,73,74.5,79.25,98,36,134,29,127,182,11.12,3.3,,,,
281,Gary Harris,2014,,74.5,76.5,78.75,96,,,,,205,,,,,,
282,Jordan Adams,2014,,75.5,76.75,82,102,29.5,131.5,24.5,126.5,209,12.13,3.5,,,,
283,Rodney Hood,2014,,79.25,80.5,80.5,103,36,139,29,132,208,11.21,3.38,,,,
284,Shabazz Napier,2014,,71,73,75.25,93,37.5,130.5,30.5,123.5,175,11.6,3.2,,,,
285,P.J. Hairston,2014,,76.25,77.25,81,101,37,138,32,133,229,11.12,3.32,,,,
286,C.J. Wilcox,2014,,75.5,77,81.75,100.5,37.5,138,31,131.5,201,11.3,3.22,,,,
287,Kyle Anderson,2014,,79.5,80.5,86.75,107.5,,,,,230,,,,,,
288,K.J. McDaniels,2014,,76.5,78,83.25,102,37,139,33,135,196,12.71,3.1,,,,
289,Joe Harris,2014,,76.75,78.25,78,100,33.5,133.5,28.5,128.5,215,11.11,3.31,,,,
290,Cleanthony Early,2014,,78,79.25,82.75,101.5,40,141.5,34,135.5,209,11.15,3.18,,,,
291,Jarnell Stokes,2014,,79,80.5,85.25,103.5,36,139.5,31,134.5,263,11.92,3.26,,,,
292,Johnny O'Bryant,2014,,79.25,80.5,86.25,105,35.5,140.5,31,136,257,11.57,3.45,,,,
293,DeAndre Daniels,2014,,79.25,80.5,86,106.5,32,138.5,26.5,133,196,11.46,3.44,,,,
294,Spencer Dinwiddie,2014,,76.5,78,80.25,103,,,,,205,,,,,,
295,Jerami Grant,2014,,78.5,79.75,86.75,107,,,,,214,,,,,,
296,Aaron Gordon,2014,,79.5,80.75,83.75,105,39,144,32.5,137.5,220,10.81,3.27,,,,
297,Glenn Robinson,2014,,77.5,78.75,82,100.5,41.5,142,36.5,137,211,11.22,3.15,,,,
298,Nick Johnson,2014,,73.5,75,79.25,96.5,41.5,138,33.5,130,198,10.8,3.27,,,,
299,Markel Brown,2014,,74.5,75.5,80.75,100,43.5,143.5,36.5,136.5,184,12.62,3.18,,,,
300,Dwight Powell,2014,,81.5,83,84.5,105,35,140,28.5,133.5,234,11.28,3.2,,,,
301,Jordan Clarkson,2014,,75.25,77,80,98,38.5,136.5,33,131,186,10.76,3.28,,,,
302,Russ Smith,2014,,71.5,72.75,75.5,95,34,129,29.5,124.5,160,11.57,3.27,,,,
303,Lamar Patterson,2014,,76,77.25,83,101,32.5,133.5,27.5,128.5,226,11.63,3.45,,,,
304,Cameron Bairstow,2014,,80.75,81.75,84.75,107,33.5,140.5,31,138,252,11.39,3.37,,,,
305,Dante Exum,2014,,76.5,78,81.5,103,34.5,137.5,31.5,134.5,196,10.75,3.19,,,,
306,Alec Brown,2014,,84.25,85.25,85.5,109,30,139,27,136,231,12.05,3.48,,,,
307,Thanasis Antetokounmpo,2014,,77.25,78.25,84,104.5,39.5,144,31.5,136,205,11.39,3.18,,,,
308,Semaj Christon,2014,,73.5,75.25,78.5,99,36.5,135.5,30.5,129.5,186,11.55,3.32,,,,
309,Devyn Marble,2014,,77,78.5,81,102,35,137,29,131,192,11.32,3.28,,,,
310,Jordan McRae,2014,,75.75,77.25,84.5,104,34.5,138.5,27.5,131.5,179,11.07,3.39,,,,
311,Xavier Thames,2014,,74.25,75.5,76,96,32.5,128.5,29,125,187,11.48,3.48,,,,
312,Marcus Smart,2014,,74,75.25,81.25,99,36,135,33,132,227,10.82,3.26,,,,
313,Cory Jefferson,2014,,79.75,81,84.5,105,37.5,142.5,33,138,218,12.63,3.36,,,,
314,Julius Randle,2014,,79.75,81,84,105.5,35.5,141,29,134.5,250,11.45,3.27,,,,
315,Nik Stauskas,2014,,77.25,78.5,79.75,102,35.5,137.5,29,131,207,10.79,3.27,,,,
316,Noah Vonleh,2014,,80,81.5,88.25,108,37,145,31,139,247,11.45,3.28,,,,
317,Aaron Craft,2014,,72.75,73.75,74,94.5,32,126.5,29,123.5,192,10.78,3.26,,,,
318,Alex Kirk,2014,,81.25,82.75,87.5,109.5,31.5,141,28.5,138,252,11.2,3.48,,,,
319,C.J. Fair,2014,,78.5,80,81.5,104,35,139,27,131,218,11,3.32,,,,
320,DeAndre Kane,2014,,74.75,76.5,80,99,35.5,134.5,31.5,130.5,200,10.95,3.16,,,,
321,Deonte Burton,2014,,72,73.25,79,97.5,39.5,137,29,126.5,193,11.28,3.28,,,,
322,Isaiah Austin,2014,,83.5,84.5,88.5,112.5,29.5,142,26.5,139,220,11,3.55,,,,
323,Jabari Brown,2014,,75,76.25,80.25,100,32,132,28,128,202,11.6,3.5,,,,
324,Jahii Carson,2014,,69.75,71,74,93,43.5,136.5,33.5,126.5,180,11.26,3.24,,,,
325,James McAdoo,2014,,79.5,80.75,86.25,106.5,34,140.5,29.5,136,228,11.61,3.28,,,,
326,Jordan Bachynski,2014,,85.25,86,88,108.5,33,141.5,29,137.5,254,12.15,3.36,,,,
327,Kendall Williams,2014,,74.25,75.75,77.5,99,33,132,27,126,183,10.83,,,,,
328,Khem Birch,2014,,79.5,81.25,85,107,35.5,142.5,30.5,137.5,209,11.6,3.26,,,,
329,LaQuinton Ross,2014,,78.5,79.5,85.75,106,31,137,25,131,239,11.97,3.44,,,,
330,Melvin Ejim,2014,,77.25,79,83.25,103.5,35,138.5,29.5,133,219,11.55,3.14,,,,
331,Patric Young,2014,,80.5,82,85.75,103.5,37.5,141,32,135.5,247,11.18,3.43,,,,
332,Sean Kilpatrick,2014,,74.5,76.25,79,99,,,,,219,,,,,,
333,Justise Winslow,2015,,76.5,78.5,82.25,104.5,,,,,222,,,,,,
334,Myles Turner,2015,,81.75,83.5,88,112,,,,,239,,,,,,
335,Trey Lyles,2015,,81,82.25,85.5,108,,,,,241,,,,,,
336,Devin Booker,2015,,76.5,77.75,80.25,102.5,34.5,137,27.5,130,206,10.22,3.28,,,,
337,Cameron Payne,2015,,72.75,73.5,79.25,97.5,35.5,133,30,127.5,183,10.89,3.28,,,,
338,Kelly Oubre,2015,,77.75,78.75,86.25,102.5,37,139.5,34.5,137,203,11.1,3.32,,,,
339,Terry Rozier,2015,,72.75,74.25,80.25,98.5,38,136.5,33,131.5,190,10.88,3.15,,,,
340,Rashad Vaughn,2015,,75.75,77,79,101,34,135,28,129,199,11.41,3.21,,,,
341,Sam Dekker,2015,,79.75,81,83.5,106,34.5,140.5,25.5,131.5,219,10.71,3.28,,,,
342,Jerian Grant,2015,,75.25,76.25,79.5,100,,,,,198,,,,,,
343,D'Angelo Russell,2015,,75.25,77,81.75,102,,,,,193,,,,,,
344,Delon Wright,2015,,76.25,77.5,79.5,101.5,31,132.5,29.5,131,181,11.21,3.29,,,,
345,Justin Anderson,2015,,77.25,78.25,83.75,101,43,144,38,139,231,11.1,3.22,,,,
346,Bobby Portis,2015,,81.5,82.5,86,108.5,31.5,140,25,133.5,246,11.71,3.56,,,,
347,Rondae Hollis-Jefferson,2015,,77.5,79,86,104,38,142,32,136,211,10.51,3.12,,,,
348,Tyus Jones,2015,,72.25,74,77,97,32.5,129.5,26.5,123.5,185,11.89,3.32,,,,
349,Jarell Martin,2015,,80,81.25,81.75,106.5,34.5,141,28.5,135,239,11.12,3.27,,,,
350,Larry Nance,2015,,79.5,80.5,85.5,108,37.5,145.5,29,137,227,10.89,3.25,,,,
351,R.J. Hunter,2015,,76.5,78,82.5,104,33.5,137.5,27.5,131.5,185,10.97,3.26,,,,
352,Chris McCullough,2015,,80.25,81,87.25,109,,,,,199,,,,,,
353,Kevon Looney,2015,,80,81.25,87.5,110,,,,,222,,,,,,
354,Montrezl Harrell,2015,,79,79.5,88.25,109,,,,,253,,,,,,
355,Jordan Mickey,2015,,79,80.25,87.25,106,37.5,143.5,33,139,238,11.8,3.28,,,,
356,Anthony Brown,2015,,77.25,80.5,83.25,104.5,34.5,139,27.5,132,211,11.06,3.18,,,,
357,Rakeem Christmas,2015,,80.25,81.75,89.25,110.5,,,29,139.5,243,11.57,3.47,,,,
358,Richaun Holmes,2015,,80.25,81.5,85.5,108,36,144,32.5,140.5,243,11.37,3.32,,,,
359,Pat Connaughton,2015,,76,77.25,80.75,96,44,140,37.5,133.5,215,10.74,3.2,,,,
360,Olivier Hanlan,2015,,75.25,76.25,78.5,100,34,134,28,128,186,11.36,3.25,,,,
361,Joseph Young,2015,,72.75,74,77,94.5,40.5,135,34.5,129,182,10.74,3.25,,,,
362,Andrew Harrison,2015,,76.5,77.5,81,100,33,133,26.5,126.5,213,11.16,3.34,,,,
363,Marcus Thornton,2015,,73.75,74.75,79.75,97.5,43,140.5,34.5,132,177,10.96,3.02,,,,
364,Norman Powell,2015,,75,76.25,82.75,102.5,40.5,143,32.5,135,215,10.76,3.2,,,,
365,Dakari Johnson,2015,,83,83.75,86,112,25,137,22.5,134.5,265,11.5,3.62,,,,
366,Aaron White,2015,,79.75,80.75,83.5,106.5,35,141.5,30,136.5,220,11.62,3.38,,,,
367,Tyler Harvey,2015,,74.75,76,77.5,98.5,28.5,127,26,124.5,181,10.52,3.44,,,,
368,Branden Dawson,2015,,77.5,78.75,83,105,34.5,139.5,28.5,133.5,230,12.37,3.2,,,,
369,J.P. Tokoto,2015,,77.25,78.25,82,100.5,40,140.5,34.5,135,196,11.01,3.27,,,,
370,Willie Cauley-Stein,2015,,83.25,84.5,87,111,,,,,242,,,,,,
371,Stanley Johnson,2015,,77,78.5,83.5,102,,,,,242,,,,,,
372,Frank Kaminsky,2015,,83.75,84.75,83,109.5,,,,,231,,,,,,
373,Aaron Harrison,2015,,76.5,78,80.25,100.5,34.5,135,28.5,129,209,,3.27,,,,
374,Alan Williams,2015,,79.25,80.25,85.75,106.5,28.5,135,25.5,132,261,12.07,3.5,,,,
375,Brandon Ashley,2015,,79.25,80.5,87.25,105,35.5,140.5,31.5,136.5,228,11.3,3.58,,,,
376,Chasson Randle,2015,,72.75,73.5,79,96.5,39.5,136,33.5,130,179,10.61,3.2,,,,
377,Chris Walker,2015,,80.75,81.25,86.75,108,37,145,30.5,138.5,208,11.32,3.35,,,,
378,Christian Wood,2015,,81.25,82.5,87.25,111.5,,,,,216,,,,,,
379,Cliff Alexander,2015,,79.25,80.5,87.5,109.5,,,,,239,,,,,,
380,Corey Hawkins,2015,,72.75,73.75,80,99.5,34,133.5,28.5,128,192,10.97,3.51,,,,
381,Dez Wells,2015,,75,76,81.5,100.5,39,139.5,31.5,132,209,10.75,3.2,,,,
382,George De Paula,2015,,76.5,77.5,84,104,34,138,28,132,197,11.38,3.45,,,,
383,Jonathan Holmes,2015,,80.25,81.25,83.5,107.5,31,138.5,25.5,133,242,10.97,3.51,,,,
384,Keifer Sykes,2015,,70.5,71.75,74,93,43,136,34,127,167,10.5,3.13,,,,
385,Michael Frazier,2015,,75.75,76.25,80,101.5,35,136.5,24,125.5,199,10.8,3.32,,,,
386,Michael Qualls,2015,,76,77,84.25,104.5,39.5,144,34,138.5,201,11.88,,,,,
387,Mouhammadou Jaiteh,2015,,81.5,82.5,87.25,110.5,31.5,142,24.5,135,247,12.05,3.38,,,,
388,Quinn Cook,2015,,72.25,74,76,96.5,31,127.5,24.5,121,179,11.28,3.38,,,,
389,Robert Upshaw,2015,,82.75,84,89.5,113,,,,,258,,,,,,
390,Ryan Boatright,2015,,70,71,72.5,92.5,41,133.5,32,124.5,170,10.79,3.26,,,,
391,T.J. McConnell,2015,,72.5,74,74,96.5,31.5,128,26,122.5,188,10.84,3.3,,,,
392,TaShawn Thomas,2015,,79.25,80,86,108,30.5,138.5,26,134,240,11.69,3.47,,,,
393,Terran Petteway,2015,,76.75,78,83.25,104.5,31,135.5,25,129.5,209,10.96,3.32,,,,
394,Treveon Graham,2015,,76.75,77.75,82.5,103,31.5,134.5,28.5,131.5,219,11.6,3.3,,,,
395,Vince Hunter,2015,,78.75,79.5,83,104.5,37.5,142,33.5,138,208,11.33,3.26,,,,
396,Thon Maker,2016,,83.75,84.75,87,110.5,36.5,147,32,142.5,216,11.15,3.33,,,,
397,Taurean Prince,2016,,78.5,79.75,83.5,102,36,138,34,136,220,10.96,3.24,,,,
398,Denzel Valentine,2016,,76,77.75,82.75,102,32,134,27,129,210,10.51,3.46,,,,
399,Justin Jackson,2016,,79,80.25,82.75,103.5,34.5,138,29.5,133,193,11.32,3.26,,,,
400,Wade Baldwin,2016,,74.5,76,83.25,100,38,138,32.5,132.5,202,10.45,3.19,,,,
401,Henry Ellenson,2016,,82,83.5,86.25,108,,,,,242,,,,,,
402,Malik Beasley,2016,,75.5,76.5,79,100.5,,,,,190,,,,,,
403,Caris LeVert,2016,,77.75,79,82,101,,,,,191,,,,,,
404,DeAndre Bembry,2016,,76.25,77.75,81.25,101,38,139,32,133,207,10.9,3.17,,,,
405,Malachi Richardson,2016,,76.75,78.25,84,101.5,38,139.5,33,134.5,200,10.56,3.33,,,,
406,Brice Johnson,2016,,81,82.5,84.5,106.5,38,144.5,33.5,140,209,11.88,3.2,,,,
407,Caleb Swanigan,2016,,79.5,80.5,87.5,107,29,136,26,133,247,12.8,,,,,
408,Pascal Siakam,2016,,80.25,81.5,87.25,107.5,36.5,144,30.5,138,227,11.25,3.41,,,,
409,Skal Labissiere,2016,,82.5,83.75,86.5,105.5,,,,,216,,,,,,
410,Jaylen Brown,2016,,77.25,78.75,83.75,102.5,,,,,223,,,,,,
411,Damian Jones,2016,,82.25,83.5,87.75,107,37,144,36,143,244,11.35,3.2,,,,
412,Josh Hart,2016,,76,77.5,80.5,99.5,38.5,138,29.5,129,204,11.15,3.2,,,,
413,Deyonta Davis,2016,,81.25,82.5,86.5,108.5,,,,,237,,,,,,
414,Cheick Diallo,2016,,79.5,81,88.5,107.5,35,142.5,31,138.5,219,11.24,3.26,,,,
415,Tyler Ulis,2016,,68.75,70,74,88.5,38,126.5,32.5,121,149,10.8,3.2,,,,
416,Malcolm Brogdon,2016,,75.75,77.5,82.5,98,35.5,133.5,30.5,128.5,223,10.77,3.31,,,,
417,Chinanu Onuaku,2016,,81,82,86.75,108.5,33.5,142,27.5,136,245,11.65,3.5,,,,
418,Patrick McCaw,2016,,77.25,78.75,82,100.5,38,138.5,30,130.5,181,11.01,3.3,,,,
419,Diamond Stone,2016,,81,82.25,86.75,108.5,29.5,138,27,135.5,254,12.02,3.5,,,,
420,Stephen Zimmerman,2016,,82.25,83.75,87.25,108.5,31,139.5,26,134.5,234,12.08,3.43,,,,
421,Isaiah Whitehead,2016,,75.25,76.5,80.75,100,35.5,135.5,27.5,127.5,210,11.65,3.34,,,,
422,Zhou Qi,2016,,85.25,86.25,91.75,112.5,32,144.5,31.5,144,218,11.27,3.46,,,,
423,Demetrius Jackson,2016,,72,73.25,77.5,93,43.5,136.5,37.5,130.5,194,10.81,3.25,,,,
424,Jake Layman,2016,,80,81.25,81.25,102,39.5,141.5,33,135,209,11.35,3.24,,,,
425,Michael Gbinije,2016,,77.5,78.75,79.5,101,37.5,138.5,33.5,134.5,205,11,3.12,,,,
426,Kris Dunn,2016,,75,76.25,81.5,100,,,,,,,,,,,
427,Georges Niang,2016,,78.75,80.5,82,103,31,134,25,128,231,11.64,3.49,,,,
428,Ben Bentil,2016,,79.25,80.25,85.5,105,33,138,29,134,229,11.16,3.3,,,,
429,Joel Bolomboy,2016,,79.5,81,85.75,103.5,40.5,144,37.5,141,224,10.26,3.17,,,,
430,Kay Felder,2016,,68.25,69.5,74.5,88.5,44,132.5,35.5,124,177,11.52,3.15,,,,
431,Marcus Paige,2016,,72.5,73.75,78.25,97,39.5,136.5,33.5,130.5,164,10.82,3.15,,,,
432,Daniel Hamilton,2016,,78.25,80,81,103.5,29,132.5,26,129.5,197,11.48,3.4,,,,
433,Isaiah Cousins,2016,,75.25,76.5,78.25,98.5,37,135.5,30.5,129,194,10.79,3.24,,,,
434,Jaron Blossomgame,2016,,78.25,79.25,82,102,41,143,35,137,214,11.53,3.2,,,,
435,Buddy Hield,2016,,75.75,77,81.25,101,,,,,212,,,,,,
436,Marquese Chriss,2016,,80.75,82,84.25,105,38.5,143.5,32.5,137.5,233,11.93,3.26,,,,
437,Jakob Poeltl,2016,,84.25,85,86.75,111.5,,,,,239,,,,,,
438,A.J. English,2016,,74,75,82,98.5,35.5,134,29.5,128,182,12.27,3.28,,,,
439,Cat Barber,2016,,73.5,74.75,77.5,95.5,,,,,173,,,,,,
440,Dedric Lawson,2016,,79,80,86.5,106.5,28,134.5,22.5,129,225,12.48,3.65,,,,
441,Dorian Finney-Smith,2016,,78.5,79.75,83.75,105.5,35.5,141,32.5,138,213,11.01,3.27,,,,
442,Elgin Cook,2016,,77,78.25,82,100.5,,,,,210,,,,,,
443,Gary Payton II,2016,,74,75,80,99.5,38.5,138,31.5,131,184,11.57,3.23,,,,
444,Isaiah Miles,2016,,78.75,79.75,82.5,105,31.5,136.5,24,129,220,11.76,3.39,,,,
445,Jarrod Uthoff,2016,,80.5,81.75,83.5,104,34.5,138.5,29,133,214,11.52,3.5,,,,
446,Kyle Wiltjer,2016,,80.75,82,84.25,102.5,35.5,138,28.5,131,243,11.35,3.48,,,,
447,Malik Newman,2016,,74.25,75.5,77.75,97.5,35.5,133,30,127.5,182,10.88,3.28,,,,
448,Marcus Lee,2016,,81,82.25,87,107.5,35.5,143,28.5,136,211,11.68,3.25,,,,
449,Melo Trimble,2016,,73.25,74.5,74,92.5,35.5,128,26.5,119,192,10.57,3.2,,,,
450,Nigel Hayes,2016,,78.25,79.25,87,107.5,28.5,136,25.5,133,245,12.11,3.2,,,,
451,Perry Ellis,2016,,79,80.25,82.25,102,38,140,32,134,218,10.73,3.13,,,,
452,Robert Carter,2016,,78.75,80.5,87.25,106.5,30.5,137,24.5,131,251,11.97,3.65,,,,
453,Ron Baker,2016,,75.25,76.25,81.75,97.5,35.5,133,30,127.5,212,10.77,3.45,,,,
454,Sheldon McClellan,2016,,77,78.25,79,99.5,41.5,141,35,134.5,198,10.45,3.26,,,,
455,Troy Williams,2016,,77.75,78.75,80.25,102,36,138,30,132,218,10.72,3.35,,,,
456,Wayne Selden,2016,,76.25,77.75,82.5,101,,,,,232,,,,,,
457,Zach Collins,2017,,82.25,84,85,111,,,,,232,,,,,,
458,Luke Kennard,2017,,76.5,77.5,77.25,98.5,,,,,196,,,,,,
459,Donovan Mitchell,2017,,73.25,75,82,97,40.5,137.5,36.5,133.5,211,11.53,3.01,,,,
460,Bam Adebayo,2017,,80.75,81.75,86.75,108,38.5,146.5,33.5,141.5,243,11.94,3.24,,,,
461,Justin Patton,2017,,82,83.25,87,111.5,30.5,142,26,137.5,229,11.8,3.46,,,,
462,D.J. Wilson,2017,,80.75,82.5,87,109.5,,,,,234,,,,,,
463,T.J. Leaf,2017,,80.75,81.75,83,107,34.5,141.5,29,136,222,11.55,3.27,,,,
464,John Collins,2017,,80.25,81.5,83.25,106.5,37.5,144,33,139.5,225,11.66,3.27,,,,
465,Harry Giles,2017,,81.25,82.5,87.25,109.5,32.5,142,27,136.5,232,11.08,3.34,,,,
466,Terrance Ferguson,2017,,77.5,79,80.75,103,38,141,28.5,131.5,184,11.16,3.32,,,,
467,Jarrett Allen,2017,,81,82.25,89.25,109.5,35.5,145,31.5,141,234,11.82,3.21,,,,
468,OG Anunoby,2017,,78.25,79.75,86.25,107.5,,,,,232,,,,,,
469,Tyler Lydon,2017,,80.25,81.5,84,107.5,33.5,141,29.5,137,215,11.68,3.46,,,,
470,Kyle Kuzma,2017,,80,81.5,84.25,107.5,34,141.5,27,134.5,223,10.72,3.25,,,,
471,Tony Bradley,2017,,81.25,82.75,89,112.5,27.5,140,24.5,137,249,11.79,3.44,,,,
472,Derrick White,2017,,75.25,76.5,79.5,101.5,36.5,138,35.5,137,190,10.84,3.08,,,,
473,Frank Jackson,2017,,74,75.5,79.5,98,42,140,35.5,133.5,202,10.94,3.14,,,,
474,Davon Reed,2017,,76.5,77.5,84,102,36,138,28.5,130.5,206,11.37,3.34,,,,
475,Wesley Iwundu,2017,,77.5,78.75,85,105.5,36,141.5,31.5,137,193,11.25,3.36,,,,
476,Frank Mason,2017,,71,72,75.25,94,41,135,34,128,189,11.41,3.18,,,,
477,Ivan Rabb,2017,,80.75,82,85.5,109,32.5,141.5,28.5,137.5,220,12.68,3.35,,,,
478,Semi Ojeleye,2017,,77.25,78.75,81.75,102,40.5,142.5,35,137,241,10.58,3.16,,,,
479,Jordan Bell,2017,,79,80.5,83.75,104.5,38,142.5,31.5,136,224,10.63,3.21,,,,
480,Jawun Evans,2017,,70.75,71.5,77.5,95,33.5,128.5,27.5,122.5,185,11.34,3.21,,,,
481,Dwayne Bacon,2017,,76.75,78.25,82,103.5,36.5,140,30,133.5,222,11.7,3.22,,,,
482,Tyler Dorsey,2017,,75,76.5,77.25,99.5,36,135.5,30.5,130,183,10.55,3.16,,,,
483,Thomas Bryant,2017,,81.5,82.75,90,112.5,33,145.5,25.5,138,248,11.42,3.37,,,,
484,Damyean Dotson,2017,,76.5,77.5,81,100,38,138,31.5,131.5,205,11.18,3.13,,,,
485,Dillon Brooks,2017,,77,78,78,100.5,37.5,138,31,131.5,220,11.14,3.21,,,,
486,Ike Anigbogu,2017,,80.5,81.75,90.25,110.5,32.5,143,29.5,140,252,12.52,3.44,,,,
487,Sindarius Thornwell,2017,,75.5,76.75,82,103,30.5,133.5,27,130,212,11.48,3.36,,,,
488,De'Aaron Fox,2017,,74,75.25,78.5,100,,,,,170,,,,,,
489,Monte Morris,2017,,73.25,74.5,76,96.5,33.5,130,28,124.5,175,11,3.19,,,,
490,Edmond Sumner,2017,,76,77.75,81,102.5,,,,,176,,,,,,
491,Kadeem Allen,2017,,73,74.25,81.25,99.5,35.5,135,33,132.5,192,11.24,3.15,,,,
492,Alec Peters,2017,,79.25,80.75,82.75,105,,,,,232,,,,,,
493,Nigel Williams-Goss,2017,,73.5,75,79.25,99,34.5,133.5,27.5,126.5,190,10.42,3.19,,,,
494,Andrew Jones,2017,,75,76.25,78.5,99.5,35,134.5,27,126.5,185,11.38,3.35,,,,
495,Cameron Oliver,2017,,79,80.25,85.25,106.5,39.5,146,28,134.5,239,12.17,3.16,,,,
496,Chris Boucher,2017,,80,81.5,88,110.5,,,,,182,,,,,,
497,Derrick Walton,2017,,71,72.75,74.5,95,32.5,127.5,26,121,189,11.28,3.29,,,,
498,Devin Robinson,2017,,79,80.25,84.75,106,41.5,147.5,35.5,141.5,190,12.85,3.23,,,,
499,Eric Mika,2017,,80.5,81.75,82,106.5,32,138.5,29,135.5,233,11.71,3.38,,,,
500,Hamidou Diallo,2017,,75.75,77,83.25,101.5,44.5,146,34.5,136,197,10.88,3.11,,,,
501,Isaiah Briscoe,2017,,73.25,74.75,81,99.5,33.5,133,28,127.5,222,10.95,3.38,,,,
502,Isaiah Hicks,2017,,79.25,80.5,84.5,105,37,142,31.5,136.5,233,12.31,3.36,,,,
503,Jamel Artis,2017,,77.5,78.75,82,105,31,136,23.5,128.5,213,11.62,3.44,,,,
504,Johnathan Motley,2017,,79.75,80.75,88,108,,,,,238,,,,,,
505,Jonathan Jeanne,2017,,84.75,86,90.5,113.5,31.5,145,29,142.5,207,12.61,3.36,,,,
506,Justin Jackson (Canada),2017,,77.75,79,87.25,107,31.5,138.5,26.5,133.5,219,11.78,3.43,,,,
507,Kennedy Meeks,2017,,80.75,82.25,85,106,30.5,136.5,28,134,277,12.91,3.5,,,,
508,Kobi Simmons,2017,,75.25,76.5,78,99,38.5,137.5,30.5,129.5,166,11.15,3.18,,,,
509,Moritz Wagner,2017,,82,83.25,84,108,32.5,140.5,25.5,133.5,231,12,3.35,,,,
510,Omer Yurtseven,2017,,82.5,83.75,85,108.5,31.5,140,26,134.5,248,12.85,3.45,,,,
511,P.J. Dozier,2017,,77.25,78.75,83,101,39,140,34,135,201,10.84,3.15,,,,
512,Peter Jok,2017,,76.25,77.75,80,102,31,133,26.5,128.5,202,11.34,3.41,,,,
513,Rawle Alkins,2017,,74.5,75.75,80.75,99,40.5,139.5,31.5,130.5,223,11.99,3.3,,,,
514,Sviatoslav Mykhailiuk,2017,,78.5,79.5,77,100,33,133,27,127,220,12.4,3.53,,,,
515,Thomas Welsh,2017,,83.5,84.5,84,109.5,,,,,254,,,,,,
516,V.J. Beachem,2017,,78.25,80,82.25,104.5,37,141.5,30,134.5,193,11.18,3.26,,,,
